Sample	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR16303366	53898	53898	33177	33148	31557	30691
SRR16303367	35787	35787	22024	21969	21441	21403
SRR16303368	38827	38827	25190	25003	24201	23712
SRR16303369	47612	47612	29875	29892	28460	27989
SRR16303370	28735	28735	17896	17806	17639	17639
SRR16303371	6381	6381	3374	3360	3043	3043
SRR16303372	16709	16709	9743	9666	8691	8667
SRR16303373	33680	33680	20846	20801	19622	19475
SRR16303374	36259	36259	21603	21530	20576	20397
SRR16303375	1939	1939	1589	1519	1356	1356
SRR16303376	53280	53280	31869	31781	29198	28160
SRR16303377	90433	90433	47184	47174	45173	44834
SRR16303378	51086	51086	26820	26757	25844	25221
SRR16303379	44213	44213	22060	21972	21271	21066
SRR16303381	46772	46772	23668	23598	22758	22565
SRR16303382	20847	20847	10136	10071	9589	9517
SRR16303383	58891	58891	32536	32398	31477	31044
SRR16303384	21925	21925	11222	11183	10720	10715
SRR16303385	45136	45136	24937	24809	22612	22204
SRR16303386	21800	21800	18905	18881	18647	18647
SRR16303387	39718	39718	20983	20940	20104	19850
SRR16303388	15105	15105	7504	7447	7305	7305
SRR16303389	51322	51322	25738	25753	24061	23730
SRR16303390	46893	46893	25550	25460	23244	22646
SRR16303391	54192	54192	29423	29349	28385	27792
SRR16303392	60455	60455	31537	31491	31074	30860
SRR16303393	47208	47208	24654	24535	23283	22848
SRR16303394	35149	35149	17557	17440	16435	16395
SRR16303395	42908	42908	20932	20905	19624	19501
SRR16303396	60552	60552	33625	33588	32922	32299
SRR16303397	5606	5606	4717	4676	4326	4326
SRR16303398	63027	63027	32767	32668	30894	30497
SRR16303399	38995	38995	20981	20903	20563	20515
SRR16303400	53813	53813	28620	28599	27430	26861
SRR16303401	82205	82205	43313	43141	41919	41179
SRR16303402	28820	28820	14749	14676	13977	13945
SRR16303403	76945	76945	43514	43545	40670	39249
SRR16303404	42043	42043	23039	22963	21548	21246
SRR16303405	56410	56410	31590	31487	30599	30099
SRR16303406	49995	49995	27572	27546	27000	26794
SRR16303407	23086	23086	10389	10280	9059	9059
SRR16303408	11219	11219	9940	9949	9695	9695
SRR16303409	46523	46523	25386	25269	24243	24194
SRR16303410	5890	5890	3112	3061	2853	2853
SRR16303411	46172	46172	26327	26266	25213	25028
SRR16303412	49348	49348	28094	28008	26733	26522
SRR16303413	59790	59790	35437	35490	33403	32557
SRR16303414	42249	42249	22883	22836	21465	21403
SRR16303415	86745	86745	45186	45151	43236	42935
SRR16303416	59116	59116	30842	30789	29301	29119
SRR16303417	44104	44104	23804	23790	22353	22192
SRR16303418	45808	45808	25450	25498	24281	23915
SRR16303419	6877	6877	5751	5753	5734	5734
SRR16303420	36412	36412	18811	18737	18382	18382
SRR16303421	68713	68713	36263	36220	35158	34188
SRR16303422	53314	53314	29134	29080	27563	27339
SRR16303423	62875	62875	35707	35706	34075	32699
SRR16303424	71196	71196	42288	42265	40456	39169
SRR16303425	53376	53376	32786	32777	30715	30119
SRR16303426	42911	42911	23819	23788	23115	22933
SRR16303427	61048	61048	32321	32241	31589	31439
SRR16303428	61637	61637	30523	30458	29349	29262
SRR16303429	115994	115994	58772	58786	57850	56196
SRR16303430	1852	1852	1551	1564	1379	1379
SRR16303431	60900	60900	30819	30666	28583	28239
SRR16303432	74932	74932	40323	40135	39555	38887
SRR16303433	72734	72734	37058	36883	35814	35363
SRR16303434	67879	67879	36074	36058	33831	33192
SRR16303435	79250	79250	40271	40221	39012	38830
SRR16303436	75700	75700	36778	36676	36014	35913
SRR16303437	67308	67308	35964	35964	33819	33631
SRR16303438	66335	66335	33811	33774	32874	32592
SRR16303439	58447	58447	31844	31821	30786	30544
SRR16303440	77855	77855	44935	44911	42950	42481
SRR16303441	926	926	738	741	693	693
SRR16303442	65597	65597	34089	34042	32944	32477
SRR16303443	90591	90591	49873	49812	47271	46604
SRR16303444	66635	66635	36075	36056	34989	34905
SRR16303445	62892	62892	33363	33371	32257	31879
SRR16303446	60701	60701	35231	35225	33392	33297
SRR16303447	38108	38108	20533	20522	19568	19555
SRR16303449	103592	103592	55213	55156	53457	51727
SRR16303450	51059	51059	27593	27510	26354	26296
SRR16303451	65752	65752	34511	34430	32873	32763
SRR16303452	14069	14069	12318	12268	12009	12009
SRR16303461	82270	82270	43261	43243	41642	40421
SRR16303472	15278	15278	13269	13254	13157	13150
SRR16303483	13301	13301	11473	11479	11282	11209
SRR16303494	4316	4316	3626	3576	3480	3480
SRR16303505	738	738	616	608	594	594
SRR16303516	25429	25429	22294	22255	21778	21778
SRR16303527	10803	10803	9559	9519	9398	9398
SRR16303538	21209	21209	18251	18227	18072	18072
SRR16303560	13447	13447	11795	11766	11567	11535
SRR16303561	13494	13494	11335	11279	11118	11113
SRR16303562	18066	18066	15836	15791	15476	15476
